Operation,Request time,Response time
GetItemList,26/1/2023 05:46:53.630,26/1/2023 05:46:54.447
ModifyOrder,26/1/2023 05:59:44.860,26/1/2023 05:59:47.410
GetOrderList,26/1/2023 06:12:36.090,26/1/2023 06:12:37.007
SendNotification,26/1/2023 06:25:27.320,26/1/2023 06:25:28.970
AddItemToOrder,26/1/2023 06:38:18.550,26/1/2023 06:38:19.950
ModifyItem,26/1/2023 06:51:09.780,26/1/2023 06:51:10.997
ModifyOrder,26/1/2023 07:04:01.010,26/1/2023 07:04:03.644
GetPaymentList,26/1/2023 07:16:52.240,26/1/2023 07:16:52.457
GetPaymentMethods,26/1/2023 07:29:43.470,26/1/2023 07:29:43.720
SendNotification,26/1/2023 07:42:34.700,26/1/2023 07:42:35.434
SendNotification,26/1/2023 07:55:25.930,26/1/2023 07:55:27.014
SetPayment,26/1/2023 08:08:17.160,26/1/2023 08:08:18.360
GetItem,26/1/2023 08:21:08.390,26/1/2023 08:21:09.057
GetOrderList,26/1/2023 08:33:59.620,26/1/2023 08:34:00.704
ModifyItem,26/1/2023 08:46:50.850,26/1/2023 08:46:56.234
GetItem,26/1/2023 08:59:42.080,26/1/2023 08:59:43.147
ModifyOrder,26/1/2023 09:12:33.310,26/1/2023 09:12:39.577
SetDeliveryAddress,26/1/2023 09:25:24.540,26/1/2023 09:25:25.307
GetPaymentList,26/1/2023 09:38:15.770,26/1/2023 09:38:17.070
AddItemToOrder,26/1/2023 09:51:07.000,26/1/2023 09:51:08.067
GetPaymentList,26/1/2023 10:03:58.230,26/1/2023 10:03:59.264
GetOrder,26/1/2023 10:16:49.460,26/1/2023 10:16:50.727
GetPaymentMethods,26/1/2023 10:29:40.690,26/1/2023 10:29:40.857
GetItem,26/1/2023 10:42:31.920,26/1/2023 10:42:32.854
Login,26/1/2023 10:55:23.150,26/1/2023 10:55:23.584
SetPayment,26/1/2023 11:08:14.380,26/1/2023 11:08:15.430
GetPaymentMethods,26/1/2023 11:21:05.610,26/1/2023 11:21:06.694
GetPaymentList,26/1/2023 11:33:56.840,26/1/2023 11:33:58.207
GetOrderList,26/1/2023 11:46:48.070,26/1/2023 11:46:49.304
GetTrackingData,26/1/2023 11:59:39.300,26/1/2023 11:59:40.500
GetPaymentList,26/1/2023 12:12:30.530,26/1/2023 12:12:30.730
AddItemToOrder,26/1/2023 12:25:21.760,26/1/2023 12:25:23.227
ModifyOrder,26/1/2023 12:38:12.990,26/1/2023 12:38:15.107
GetItemList,26/1/2023 12:51:04.220,26/1/2023 12:51:04.887
ModifyItem,26/1/2023 13:03:55.450,26/1/2023 13:04:02.817
GetItemList,26/1/2023 13:16:46.680,26/1/2023 13:16:47.380
SetDeliveryAddress,26/1/2023 13:29:37.910,26/1/2023 13:29:39.210
Login,26/1/2023 13:42:29.140,26/1/2023 13:42:30.390
GetOrderList,26/1/2023 13:55:20.370,26/1/2023 13:55:21.187
AddItemToOrder,26/1/2023 14:08:11.600,26/1/2023 14:08:12.017
GetOrder,26/1/2023 14:21:02.830,26/1/2023 14:21:03.930
SetPayment,26/1/2023 14:33:54.060,26/1/2023 14:33:55.710
SetDeliveryAddress,26/1/2023 14:46:45.290,26/1/2023 14:46:46.407
AddItemToOrder,26/1/2023 14:59:36.520,26/1/2023 14:59:37.970
Login,26/1/2023 15:12:27.750,26/1/2023 15:12:29.084
GetOrderList,26/1/2023 15:25:18.980,26/1/2023 15:25:19.064
GetOrder,26/1/2023 15:38:10.210,26/1/2023 15:38:10.827
ModifyItem,26/1/2023 15:51:01.440,26/1/2023 15:51:05.224
GetOrder,26/1/2023 16:03:52.670,26/1/2023 16:03:53.437
ModifyOrder,26/1/2023 16:16:43.900,26/1/2023 16:16:52.217
GetPaymentList,26/1/2023 16:29:35.130,26/1/2023 16:29:35.147
AddItemToOrder,26/1/2023 16:42:26.360,26/1/2023 16:42:27.577
ModifyOrder,26/1/2023 16:55:17.590,26/1/2023 16:55:26.757
GetItem,26/1/2023 17:08:08.820,26/1/2023 17:08:10.270
GetPaymentMethods,26/1/2023 17:21:00.050,26/1/2023 17:21:00.817
SetDeliveryAddress,26/1/2023 17:33:51.280,26/1/2023 17:33:52.880
GetPaymentList,26/1/2023 17:46:42.510,26/1/2023 17:46:43.610
Login,26/1/2023 17:59:33.740,26/1/2023 17:59:33.890
SendNotification,26/1/2023 18:12:24.970,26/1/2023 18:12:26.437
SetDeliveryAddress,26/1/2023 18:25:16.200,26/1/2023 18:25:17.784
GetPaymentList,26/1/2023 18:38:07.430,26/1/2023 18:38:08.697
SetPayment,26/1/2023 18:50:58.660,26/1/2023 18:50:59.060
Login,26/1/2023 19:03:49.890,26/1/2023 19:03:49.907
GetItem,26/1/2023 19:16:41.120,26/1/2023 19:16:41.687
GetPaymentMethods,26/1/2023 19:29:32.350,26/1/2023 19:29:32.634
GetOrderList,26/1/2023 19:42:23.580,26/1/2023 19:42:25.014
AddItemToOrder,26/1/2023 19:55:14.810,26/1/2023 19:55:16.127
SetPayment,26/1/2023 20:08:06.040,26/1/2023 20:08:06.057
GetPaymentMethods,26/1/2023 20:20:57.270,26/1/2023 20:20:57.487
SetPayment,26/1/2023 20:33:48.500,26/1/2023 20:33:49.267
SetPayment,26/1/2023 20:46:39.730,26/1/2023 20:46:41.164
GetOrderList,26/1/2023 20:59:30.960,26/1/2023 20:59:32.377
GetTrackingData,26/1/2023 21:12:22.190,26/1/2023 21:12:22.240
GetItemList,26/1/2023 21:25:13.420,26/1/2023 21:25:13.670
SetDeliveryAddress,26/1/2023 21:38:04.650,26/1/2023 21:38:05.484
GetOrder,26/1/2023 21:50:55.880,26/1/2023 21:50:56.997
GetItemList,26/1/2023 22:03:47.110,26/1/2023 22:03:48.427
SendNotification,26/1/2023 22:16:38.340,26/1/2023 22:16:39.174
SetPayment,26/1/2023 22:29:29.570,26/1/2023 22:29:29.604
GetTrackingData,26/1/2023 22:42:20.800,26/1/2023 22:42:21.267
SetPayment,26/1/2023 22:55:12.030,26/1/2023 22:55:13.697
ModifyOrder,26/1/2023 23:08:03.260,26/1/2023 23:08:03.910
GetItemList,26/1/2023 23:20:54.490,26/1/2023 23:20:54.740
GetItemList,26/1/2023 23:33:45.720,26/1/2023 23:33:46.120
GetPaymentList,26/1/2023 23:46:36.950,26/1/2023 23:46:37.834
GetOrder,26/1/2023 23:59:28.180,26/1/2023 23:59:29.597
GetPaymentList,27/1/2023 00:12:19.410,27/1/2023 00:12:20.860
GetOrder,27/1/2023 00:25:10.640,27/1/2023 00:25:12.140
SetPayment,27/1/2023 00:38:01.870,27/1/2023 00:38:03.104
SetDeliveryAddress,27/1/2023 00:50:53.100,27/1/2023 00:50:54.750
SetPayment,27/1/2023 01:03:44.330,27/1/2023 01:03:44.680
Login,27/1/2023 01:16:35.560,27/1/2023 01:16:35.794
GetItemList,27/1/2023 01:29:26.790,27/1/2023 01:29:26.940
GetPaymentList,27/1/2023 01:42:18.020,27/1/2023 01:42:19.154
GetOrderList,27/1/2023 01:55:09.250,27/1/2023 01:55:10.917
GetOrderList,27/1/2023 02:08:00.480,27/1/2023 02:08:01.914
GetItemList,27/1/2023 02:20:51.710,27/1/2023 02:20:51.977
GetTrackingData,27/1/2023 02:33:42.940,27/1/2023 02:33:44.590
GetTrackingData,27/1/2023 02:46:34.170,27/1/2023 02:46:34.854
SetDeliveryAddress,27/1/2023 02:59:25.400,27/1/2023 02:59:26.334
GetOrderList,27/1/2023 03:12:16.630,27/1/2023 03:12:17.830
Login,27/1/2023 03:25:07.860,27/1/2023 03:25:08.827
GetPaymentMethods,27/1/2023 03:37:59.090,27/1/2023 03:38:00.157
SendNotification,27/1/2023 03:50:50.320,27/1/2023 03:50:51.270
AddItemToOrder,27/1/2023 04:03:41.550,27/1/2023 04:03:42.334
GetOrderList,27/1/2023 04:16:32.780,27/1/2023 04:16:33.597
SetDeliveryAddress,27/1/2023 04:29:24.010,27/1/2023 04:29:24.344
SendNotification,27/1/2023 04:42:15.240,27/1/2023 04:42:15.357
GetPaymentMethods,27/1/2023 04:55:06.470,27/1/2023 04:55:07.837
GetItem,27/1/2023 05:07:57.700,27/1/2023 05:07:58.667
GetPaymentMethods,27/1/2023 05:20:48.930,27/1/2023 05:20:49.630
Login,27/1/2023 05:33:40.160,27/1/2023 05:33:40.694
GetItemList,27/1/2023 05:46:31.390,27/1/2023 05:46:31.807
SendNotification,27/1/2023 00:59:23.000,27/1/2023 05:59:22.704
SetDeliveryAddress,27/1/2023 06:12:13.850,27/1/2023 06:12:15.167
ModifyOrder,27/1/2023 06:25:05.080,27/1/2023 06:25:05.730
GetOrder,27/1/2023 06:37:56.310,27/1/2023 06:37:57.927
GetPaymentList,27/1/2023 06:50:47.540,27/1/2023 06:50:48.374
GetOrder,27/1/2023 07:03:38.770,27/1/2023 07:03:38.870
ModifyOrder,27/1/2023 07:16:30.000,27/1/2023 07:16:36.134
GetOrder,27/1/2023 07:29:21.230,27/1/2023 07:29:22.380
GetTrackingData,27/1/2023 07:42:12.460,27/1/2023 07:42:12.494
GetPaymentList,27/1/2023 07:55:03.690,27/1/2023 07:55:05.124
Login,27/1/2023 08:07:54.920,27/1/2023 08:07:55.954
ModifyOrder,27/1/2023 08:20:46.150,27/1/2023 08:20:52.167
Login,27/1/2023 08:33:37.380,27/1/2023 08:33:38.430
GetItemList,27/1/2023 08:46:28.610,27/1/2023 08:46:29.327
GetOrderList,27/1/2023 08:59:19.840,27/1/2023 08:59:19.924
GetItemList,27/1/2023 09:12:11.070,27/1/2023 09:12:11.637
GetItemList,27/1/2023 09:25:02.300,27/1/2023 09:25:02.334
ModifyOrder,27/1/2023 09:37:53.530,27/1/2023 09:37:58.947
GetItem,27/1/2023 09:50:44.760,27/1/2023 09:50:45.527
GetTrackingData,27/1/2023 10:03:35.990,27/1/2023 10:03:36.907
ModifyOrder,27/1/2023 10:16:27.220,27/1/2023 10:16:36.270
GetPaymentMethods,27/1/2023 10:29:18.450,27/1/2023 10:29:18.484
ModifyItem,27/1/2023 10:42:09.680,27/1/2023 10:42:12.280
GetPaymentMethods,27/1/2023 10:55:00.910,27/1/2023 10:55:02.227
GetTrackingData,27/1/2023 11:07:52.140,27/1/2023 11:07:52.424
ModifyOrder,27/1/2023 11:20:43.370,27/1/2023 11:20:45.887
GetOrderList,27/1/2023 11:33:34.600,27/1/2023 11:33:36.250
SetPayment,27/1/2023 11:46:25.830,27/1/2023 11:46:27.214
GetPaymentMethods,27/1/2023 11:59:17.060,27/1/2023 11:59:18.594
ModifyOrder,27/1/2023 12:12:08.290,27/1/2023 12:12:16.557
GetItemList,27/1/2023 12:24:59.520,27/1/2023 12:24:59.754
ModifyItem,27/1/2023 12:37:50.750,27/1/2023 12:37:52.834
Login,27/1/2023 12:50:41.980,27/1/2023 12:50:42.964
GetItemList,27/1/2023 13:03:33.210,27/1/2023 13:03:33.427
GetOrderList,27/1/2023 13:16:24.440,27/1/2023 13:16:25.790
SetDeliveryAddress,27/1/2023 13:29:15.670,27/1/2023 13:29:16.437
SetPayment,27/1/2023 13:42:06.900,27/1/2023 13:42:07.617
GetItem,27/1/2023 13:54:58.130,27/1/2023 13:54:58.630
SetDeliveryAddress,27/1/2023 14:07:49.360,27/1/2023 14:07:50.444
SetPayment,27/1/2023 14:20:40.590,27/1/2023 14:20:40.840
SendNotification,27/1/2023 14:33:31.820,27/1/2023 14:33:32.604
AddItemToOrder,27/1/2023 14:46:23.050,27/1/2023 14:46:23.884
GetOrder,27/1/2023 14:59:14.280,27/1/2023 14:59:15.247
GetOrder,27/1/2023 15:12:05.510,27/1/2023 15:12:06.144
GetPaymentList,27/1/2023 15:24:56.740,27/1/2023 15:24:57.324
ModifyItem,27/1/2023 15:37:47.970,27/1/2023 15:37:53.837
GetOrderList,27/1/2023 15:50:39.200,27/1/2023 15:50:40.717
GetPaymentMethods,27/1/2023 16:03:30.430,27/1/2023 16:03:30.630
AddItemToOrder,27/1/2023 16:16:21.660,27/1/2023 16:16:23.227
GetOrder,27/1/2023 16:29:12.890,27/1/2023 16:29:13.440
GetItemList,27/1/2023 16:42:04.120,27/1/2023 16:42:04.554
Login,27/1/2023 16:54:55.350,27/1/2023 16:54:56.050
GetOrder,27/1/2023 17:07:46.580,27/1/2023 17:07:47.530
AddItemToOrder,27/1/2023 17:20:37.810,27/1/2023 17:20:37.877
GetOrderList,27/1/2023 17:33:29.040,27/1/2023 17:33:29.524
AddItemToOrder,27/1/2023 17:46:20.270,27/1/2023 17:46:20.554
ModifyItem,27/1/2023 17:59:11.500,27/1/2023 17:59:20.484
GetItem,27/1/2023 18:12:02.730,27/1/2023 18:12:04.264
AddItemToOrder,27/1/2023 18:24:53.960,27/1/2023 18:24:55.560
SetPayment,27/1/2023 18:37:45.190,27/1/2023 18:37:46.740
GetItem,27/1/2023 18:50:36.420,27/1/2023 18:50:37.920
GetOrder,27/1/2023 19:03:27.650,27/1/2023 19:03:28.534
GetPaymentMethods,27/1/2023 19:16:18.880,27/1/2023 19:16:20.314
GetPaymentList,27/1/2023 19:29:10.110,27/1/2023 19:29:11.477
GetOrder,27/1/2023 19:42:01.340,27/1/2023 19:42:01.457
Login,27/1/2023 19:54:52.570,27/1/2023 19:54:53.287
GetPaymentMethods,27/1/2023 20:07:43.800,27/1/2023 20:07:44.634
ModifyOrder,27/1/2023 20:20:35.030,27/1/2023 20:20:38.464
GetPaymentMethods,27/1/2023 20:33:26.260,27/1/2023 20:33:27.710
GetItemList,27/1/2023 20:46:17.490,27/1/2023 20:46:18.674
SendNotification,27/1/2023 20:59:08.720,27/1/2023 20:59:10.104
SetPayment,27/1/2023 21:11:59.950,27/1/2023 21:12:00.500
GetItemList,27/1/2023 21:24:51.180,27/1/2023 21:24:52.664
ModifyItem,27/1/2023 21:37:42.410,27/1/2023 21:37:43.677
SetDeliveryAddress,27/1/2023 21:50:33.640,27/1/2023 21:50:34.674
SetPayment,27/1/2023 22:03:24.870,27/1/2023 22:03:25.570
SetPayment,27/1/2023 22:16:16.100,27/1/2023 22:16:16.384
GetPaymentList,27/1/2023 22:29:07.330,27/1/2023 22:29:07.414
GetTrackingData,27/1/2023 22:41:58.560,27/1/2023 22:42:00.027
ModifyItem,27/1/2023 22:54:49.790,27/1/2023 22:54:58.374
GetTrackingData,27/1/2023 23:07:41.020,27/1/2023 23:07:41.704
ModifyItem,27/1/2023 23:20:32.250,27/1/2023 23:20:37.417
GetOrder,27/1/2023 23:33:23.480,27/1/2023 23:33:24.280
GetOrderList,27/1/2023 23:46:14.710,27/1/2023 23:46:15.510
Login,27/1/2023 23:59:05.940,27/1/2023 23:59:06.840
SetDeliveryAddress,28/1/2023 00:11:57.170,28/1/2023 00:11:58.187
SetPayment,28/1/2023 00:24:48.400,28/1/2023 00:24:49.234
GetOrder,28/1/2023 00:37:39.630,28/1/2023 00:37:41.280
GetPaymentList,28/1/2023 00:50:30.860,28/1/2023 00:50:31.277
GetPaymentMethods,28/1/2023 01:03:22.090,28/1/2023 01:03:23.440
SetPayment,28/1/2023 01:16:13.320,28/1/2023 01:16:14.020
SendNotification,28/1/2023 01:29:04.550,28/1/2023 01:29:05.300
SetDeliveryAddress,28/1/2023 01:41:55.780,28/1/2023 01:41:56.180
GetTrackingData,28/1/2023 01:54:47.010,28/1/2023 01:54:47.594
GetOrderList,28/1/2023 02:07:38.240,28/1/2023 02:07:39.340
SetDeliveryAddress,28/1/2023 02:20:29.470,28/1/2023 02:20:30.687
Login,28/1/2023 02:33:20.700,28/1/2023 02:33:22.350
GetPaymentList,28/1/2023 02:46:11.930,28/1/2023 02:46:12.130
GetOrderList,28/1/2023 02:59:03.160,28/1/2023 02:59:03.660
GetItemList,28/1/2023 03:11:54.390,28/1/2023 03:11:55.407
ModifyOrder,28/1/2023 03:24:45.620,28/1/2023 03:24:52.970
GetTrackingData,28/1/2023 03:37:36.850,28/1/2023 03:37:37.584
GetItem,28/1/2023 03:50:28.080,28/1/2023 03:50:28.214
ModifyOrder,28/1/2023 04:03:19.310,28/1/2023 04:03:22.794
GetOrderList,28/1/2023 04:16:10.540,28/1/2023 04:16:10.990
GetPaymentMethods,28/1/2023 04:29:01.770,28/1/2023 04:29:02.370
AddItemToOrder,28/1/2023 04:41:53.000,28/1/2023 04:41:53.200
ModifyItem,28/1/2023 04:54:44.230,28/1/2023 04:54:49.664
GetPaymentList,28/1/2023 05:07:35.460,28/1/2023 05:07:35.994
GetItemList,28/1/2023 05:20:26.690,28/1/2023 05:20:28.324
GetItem,28/1/2023 05:33:17.920,28/1/2023 05:33:18.604
GetItem,28/1/2023 05:46:09.150,28/1/2023 05:46:09.250
GetPaymentList,28/1/2023 05:59:00.380,28/1/2023 05:59:00.464
GetOrderList,28/1/2023 06:11:51.610,28/1/2023 06:11:52.660
SetPayment,28/1/2023 06:24:42.840,28/1/2023 06:24:43.824
GetItemList,28/1/2023 06:37:34.070,28/1/2023 06:37:35.287
GetPaymentList,28/1/2023 06:50:25.300,28/1/2023 06:50:26.250
GetTrackingData,28/1/2023 07:03:16.530,28/1/2023 07:03:18.114
GetOrder,28/1/2023 07:16:07.760,28/1/2023 07:16:08.427
ModifyItem,28/1/2023 07:28:58.990,28/1/2023 07:29:02.674
SetPayment,28/1/2023 07:41:50.220,28/1/2023 07:41:51.004
ModifyItem,28/1/2023 07:54:41.450,28/1/2023 07:54:50.367
GetItemList,28/1/2023 08:07:32.680,28/1/2023 08:07:34.297
GetOrderList,28/1/2023 08:20:23.910,28/1/2023 08:20:25.360
GetItem,28/1/2023 08:33:15.140,28/1/2023 08:33:15.740
GetOrderList,28/1/2023 08:46:06.370,28/1/2023 08:46:07.937
ModifyItem,28/1/2023 08:58:57.600,28/1/2023 08:59:01.300
AddItemToOrder,28/1/2023 09:11:48.830,28/1/2023 09:11:50.297
SendNotification,28/1/2023 09:24:40.060,28/1/2023 09:24:41.260
GetPaymentList,28/1/2023 09:37:31.290,28/1/2023 09:37:32.324
GetPaymentMethods,28/1/2023 09:50:22.520,28/1/2023 09:50:23.870
GetItem,28/1/2023 10:03:13.750,28/1/2023 10:03:14.934
GetOrder,28/1/2023 10:16:04.980,28/1/2023 10:16:05.780
SetPayment,28/1/2023 10:28:56.210,28/1/2023 10:28:56.627
GetItem,28/1/2023 10:41:47.440,28/1/2023 10:41:48.674
GetItemList,28/1/2023 10:54:38.670,28/1/2023 10:54:38.720
GetItemList,28/1/2023 11:07:29.900,28/1/2023 11:07:31.367
GetPaymentMethods,28/1/2023 11:20:21.130,28/1/2023 11:20:21.747
GetOrder,28/1/2023 11:33:12.360,28/1/2023 11:33:13.910
GetPaymentMethods,28/1/2023 11:46:03.590,28/1/2023 11:46:04.240
GetPaymentList,28/1/2023 11:58:54.820,28/1/2023 11:58:55.437
GetItem,28/1/2023 12:11:46.050,28/1/2023 12:11:47.550
ModifyOrder,28/1/2023 12:24:37.280,28/1/2023 12:24:43.430
GetPaymentMethods,28/1/2023 12:37:28.510,28/1/2023 12:37:28.694
Login,28/1/2023 12:50:19.740,28/1/2023 12:50:20.074
Login,28/1/2023 13:03:10.970,28/1/2023 13:03:12.154
GetItem,28/1/2023 13:16:02.200,28/1/2023 13:16:03.384
GetItem,28/1/2023 13:28:53.430,28/1/2023 13:28:54.680
SetDeliveryAddress,28/1/2023 13:41:44.660,28/1/2023 13:41:44.810
GetPaymentMethods,28/1/2023 13:54:35.890,28/1/2023 13:54:36.690
GetItemList,28/1/2023 14:07:27.120,28/1/2023 14:07:28.054
Login,28/1/2023 14:20:18.350,28/1/2023 14:20:19.817
SendNotification,28/1/2023 14:33:09.580,28/1/2023 14:33:09.864
SetDeliveryAddress,28/1/2023 14:46:00.810,28/1/2023 14:46:02.427
GetOrder,28/1/2023 14:58:52.040,28/1/2023 14:58:53.574
GetOrderList,28/1/2023 15:11:43.270,28/1/2023 15:11:44.570
GetTrackingData,28/1/2023 15:24:34.500,28/1/2023 15:24:35.600
SendNotification,28/1/2023 15:37:25.730,28/1/2023 15:37:26.264
GetTrackingData,28/1/2023 15:50:16.960,28/1/2023 15:50:18.110
AddItemToOrder,28/1/2023 16:03:08.190,28/1/2023 16:03:09.007
ModifyItem,28/1/2023 16:15:59.420,28/1/2023 16:16:06.687
GetOrderList,28/1/2023 16:28:50.650,28/1/2023 16:28:51.250
GetTrackingData,28/1/2023 16:41:41.880,28/1/2023 16:41:43.414
GetTrackingData,28/1/2023 16:54:33.110,28/1/2023 16:54:34.577
GetPaymentMethods,28/1/2023 17:07:24.340,28/1/2023 17:07:25.424
SetPayment,28/1/2023 17:20:15.570,28/1/2023 17:20:15.987
GetOrderList,28/1/2023 17:33:06.800,28/1/2023 17:33:08.000
GetOrderList,28/1/2023 17:45:58.030,28/1/2023 17:45:59.280
AddItemToOrder,28/1/2023 17:58:49.260,28/1/2023 17:58:49.310
GetOrderList,28/1/2023 18:11:40.490,28/1/2023 18:11:41.624
GetPaymentList,28/1/2023 18:24:31.720,28/1/2023 18:24:31.954
GetPaymentList,28/1/2023 18:37:22.950,28/1/2023 18:37:23.217
ModifyItem,28/1/2023 18:50:14.180,28/1/2023 18:50:16.264
Login,28/1/2023 19:03:05.410,28/1/2023 19:03:06.927
ModifyOrder,28/1/2023 19:15:56.640,28/1/2023 19:15:57.757
ModifyItem,28/1/2023 19:28:47.870,28/1/2023 19:28:54.287
Login,28/1/2023 19:41:39.100,28/1/2023 19:41:40.000
GetItem,28/1/2023 19:54:30.330,28/1/2023 19:54:31.797
GetItemList,28/1/2023 20:07:21.560,28/1/2023 20:07:21.944
SetDeliveryAddress,28/1/2023 20:20:12.790,28/1/2023 20:20:12.890
GetOrder,28/1/2023 20:33:04.020,28/1/2023 20:33:04.604
GetItem,28/1/2023 20:45:55.250,28/1/2023 20:45:55.300
GetOrder,28/1/2023 20:58:46.480,28/1/2023 20:58:48.080
AddItemToOrder,28/1/2023 21:11:37.710,28/1/2023 21:11:38.777
SetPayment,28/1/2023 21:24:28.940,28/1/2023 21:24:29.507
ModifyItem,28/1/2023 21:37:20.170,28/1/2023 21:37:20.820
GetOrder,28/1/2023 21:50:11.400,28/1/2023 21:50:11.917
GetOrder,28/1/2023 22:03:02.630,28/1/2023 22:03:04.114
GetTrackingData,28/1/2023 22:15:53.860,28/1/2023 22:15:54.477
GetPaymentMethods,28/1/2023 22:28:45.090,28/1/2023 22:28:45.724
ModifyItem,28/1/2023 22:41:36.320,28/1/2023 22:41:40.637
GetPaymentMethods,28/1/2023 22:54:27.550,28/1/2023 22:54:28.184
ModifyOrder,28/1/2023 23:07:18.780,28/1/2023 23:07:26.564
SetDeliveryAddress,28/1/2023 23:20:10.010,28/1/2023 23:20:10.777
AddItemToOrder,28/1/2023 23:33:01.240,28/1/2023 23:33:02.407
ModifyOrder,28/1/2023 23:45:52.470,28/1/2023 23:45:55.420
GetPaymentList,28/1/2023 23:58:43.700,28/1/2023 23:58:45.200
SetPayment,29/1/2023 00:11:34.930,29/1/2023 00:11:36.314
GetPaymentMethods,29/1/2023 00:24:26.160,29/1/2023 00:24:26.544
GetTrackingData,29/1/2023 00:37:17.390,29/1/2023 00:37:18.174
GetPaymentMethods,29/1/2023 00:50:08.620,29/1/2023 00:50:09.037
SetDeliveryAddress,29/1/2023 01:02:59.850,29/1/2023 01:03:01.217
GetItem,29/1/2023 01:15:51.080,29/1/2023 01:15:52.014
GetOrderList,29/1/2023 01:28:42.310,29/1/2023 01:28:42.794
SendNotification,29/1/2023 01:41:33.540,29/1/2023 01:41:34.574
SetPayment,29/1/2023 01:54:24.770,29/1/2023 01:54:26.154
GetItemList,29/1/2023 02:07:16.000,29/1/2023 02:07:16.500
GetItem,29/1/2023 02:20:07.230,29/1/2023 02:20:07.447
GetItemList,29/1/2023 02:32:58.460,29/1/2023 02:32:58.477
GetPaymentMethods,29/1/2023 02:45:49.690,29/1/2023 02:45:51.140
GetPaymentMethods,29/1/2023 02:58:40.920,29/1/2023 02:58:41.770
GetOrderList,29/1/2023 03:11:32.150,29/1/2023 03:11:32.184
GetOrder,29/1/2023 03:24:23.380,29/1/2023 03:24:24.297
GetOrder,29/1/2023 03:37:14.610,29/1/2023 03:37:14.960
GetItem,29/1/2023 03:50:05.840,29/1/2023 03:50:06.774
ModifyOrder,29/1/2023 04:02:57.070,29/1/2023 04:03:00.920
GetItem,29/1/2023 04:15:48.300,29/1/2023 04:15:48.550
SetPayment,29/1/2023 04:28:39.530,29/1/2023 04:28:40.614
GetOrderList,29/1/2023 04:41:30.760,29/1/2023 04:41:32.177
SendNotification,29/1/2023 04:54:21.990,29/1/2023 04:54:22.674
GetItemList,29/1/2023 05:07:13.220,29/1/2023 05:07:13.854
GetOrderList,29/1/2023 05:20:04.450,29/1/2023 05:20:04.517
GetOrder,29/1/2023 05:32:55.680,29/1/2023 05:32:56.630
GetPaymentList,29/1/2023 05:45:46.910,29/1/2023 05:45:47.860
GetPaymentMethods,29/1/2023 05:58:38.140,29/1/2023 05:58:38.524
SetPayment,29/1/2023 06:11:29.370,29/1/2023 06:11:30.587
GetItemList,29/1/2023 06:24:20.600,29/1/2023 06:24:21.617
GetOrder,29/1/2023 06:37:11.830,29/1/2023 06:37:12.664
ModifyOrder,29/1/2023 06:50:03.060,29/1/2023 06:50:11.960
GetPaymentMethods,29/1/2023 07:02:54.290,29/1/2023 07:02:55.624
GetItem,29/1/2023 07:15:45.520,29/1/2023 07:15:46.520
GetItem,29/1/2023 07:28:36.750,29/1/2023 07:28:37.184
GetItem,29/1/2023 07:41:27.980,29/1/2023 07:41:28.797
ModifyOrder,29/1/2023 07:54:19.210,29/1/2023 07:54:23.794
ModifyItem,29/1/2023 08:07:10.440,29/1/2023 08:07:17.174
GetPaymentList,29/1/2023 08:20:01.670,29/1/2023 08:20:01.820
GetPaymentList,29/1/2023 08:32:52.900,29/1/2023 08:32:54.167
GetPaymentList,29/1/2023 08:45:44.130,29/1/2023 08:45:44.147
GetTrackingData,29/1/2023 08:58:35.360,29/1/2023 08:58:36.944
AddItemToOrder,29/1/2023 09:11:26.590,29/1/2023 09:11:26.974
GetPaymentList,29/1/2023 09:24:17.820,29/1/2023 09:24:18.637
GetPaymentList,29/1/2023 09:37:09.050,29/1/2023 09:37:10.334
AddItemToOrder,29/1/2023 09:50:00.280,29/1/2023 09:50:00.514
GetPaymentList,29/1/2023 10:02:51.510,29/1/2023 10:02:52.177
SetPayment,29/1/2023 10:15:42.740,29/1/2023 10:15:43.524
GetPaymentList,29/1/2023 10:28:33.970,29/1/2023 10:28:34.520
SendNotification,29/1/2023 10:41:25.200,29/1/2023 10:41:26.117
GetPaymentMethods,29/1/2023 10:54:16.430,29/1/2023 10:54:16.464
GetOrder,29/1/2023 11:07:07.660,29/1/2023 11:07:08.460
GetItem,29/1/2023 11:19:58.890,29/1/2023 11:20:00.474
ModifyItem,29/1/2023 11:32:50.120,29/1/2023 11:32:56.670
GetOrder,29/1/2023 11:45:41.350,29/1/2023 11:45:42.450
SetDeliveryAddress,29/1/2023 11:58:32.580,29/1/2023 11:58:32.930
ModifyItem,29/1/2023 12:11:23.810,29/1/2023 12:11:27.694
GetOrder,29/1/2023 12:24:15.040,29/1/2023 12:24:16.090
GetPaymentMethods,29/1/2023 12:37:06.270,29/1/2023 12:37:07.337
GetTrackingData,29/1/2023 12:49:57.500,29/1/2023 12:49:58.584
GetItemList,29/1/2023 13:02:48.730,29/1/2023 13:02:49.764
AddItemToOrder,29/1/2023 13:15:39.960,29/1/2023 13:15:40.944
GetItem,29/1/2023 13:28:31.190,29/1/2023 13:28:31.207
SetPayment,29/1/2023 13:41:22.420,29/1/2023 13:41:22.754
ModifyOrder,29/1/2023 13:54:13.650,29/1/2023 13:54:22.800
GetItemList,29/1/2023 14:07:04.880,29/1/2023 14:07:05.197
